id,rut_pasaporte,email,nombre,apellido1,apellido2,genero_id,fecha_registro,codigo_trazabilidad
5001,11.111.111-1,marcela.fuentes@example.com,MARCELA,FUENTES,ROJAS,2,2025-03-03 09:14:22,DCG25-1
5002,22.222.222-2,jorge.salinas@example.net,JORGE,SALINAS,PINO,1,2025-03-05 11:40:05,DFIN25-2
5003,12.345.678-5,ricardo.paredes@example.org,RICARDO,PAREDES,LEIVA,1,2025-03-10 16:02:47,DFIN25-2
5004,12345678-5,RICARDO.PAREDES@EXAMPLE.ORG,RICARDO,PAREDES,LEIVA,1,2025-04-01 08:15:00,DFIN25-2
5005,5.555.555-5,MARIO.REYES@EXAMPLE.COM,MARIO,REYES,DONOSO,1,2025-03-12 10:30:11,CTD25-3
5006,6.666.666-6,,PATRICIA,MUÑOZ,CASTRO,2,2025-03-15 14:20:33,DCG25-1
5007,8.888.888-8,tomas.arancibia@example.net,TOMAS,ARANCIBIA,SILVA,1,0000-00-00,DMKT25-1
5008,9.999.999-9,carla.espinoza@example.com,CARLA,ESPINOZA,VIDAL,2,2025-03-18 09:55:10,DMKT25-1
5009,7.777.777-7,andres.venegas@example.org,ANDRES,VENEGAS,TORO,1,2025-03-20 17:44:29,DCG25-1
5010,4.444.444-4,paula.ibanez@example.net,PAULA,IBAÑEZ,MORA,2,1900-01-01,CTD25-3
5011,3.333.333-3,felipe.guzman@example.com,FELIPE,GUZMAN,RIOS,1,2025-03-25 12:08:56,DFIN25-2
5012,15.151.515-k,daniela.pizarro@example.org,DANIELA,PIZARRO,FUENZALIDA,2,2025-03-28 15:31:02,DCG25-1
