RUT;NOMBRE COMPLETO;CORREO;TELEFONO;FECHA INSCRIPCION;PROGRAMA;ESTADO
111111111;MARCELA FUENTES ROJAS;marcela.fuentes@example.com;;15/04/2023;DCG23-2;EGRESADO
7.654.321-6;VALENTINA HERRERA LAGOS;valentina.herrera@example.net;56963334455;20/05/2023;DMKT23-1;EGRESADO
13.131.313-1;JOSÃ‰ MARDONES PINTO;jose.mardones@example.org;;02/03/2023;DFIN23-1;EGRESADO
14.141.414-4;PILAR GÃ“MEZ ARAYA;pilar.gomez@example.com;56964445566;11/06/2023;DCG23-2;EGRESADO
16.161.616-6;RODRIGO MUÃ‘OZ CIFUENTES;rodrigo.munoz@example.net;;09/07/2023;CTD23-1;EGRESADO
;CLAUDIA ROJAS BELLO;claudia.rojas@example.org;56965556677;18/08/2023;DMKT23-1;EGRESADO
17.171.717-7;FERNANDO SAAVEDRA NEIRA;S/CORREO;;25/09/2023;DFIN23-1;EGRESADO
18.181.818-8;LORENA CAMPOS MEDINA;lorena.campos@example.com;56966667788;30/10/2023;DCG23-2;EGRESADO
19.191.919-9;OSCAR PINILLA VARGAS;oscar.pinilla@example.net;;05/11/2023;CTD23-1;EGRESADO
20.202.020-2;TERESA VALDÃ‰S CARRASCO;teresa.valdes@example.org;56967778899;12/12/2023;DMKT23-1;EGRESADO
